1;4;1;100
2;4;1;101
3;4;1;102
4;5;1;103
5;5;1;104
6;5;1;105
7;4;1;107
8;4;1;108
9;4;1;109
10;4;1;110
11;4;1;111
12;5;1;112
13;5;1;113
14;5;1;109
15;5;1;108
16;5;1;107
17;4;2;114
18;4;2;115
19;4;2;116
20;4;2;117
21;4;2;118
22;5;2;119
23;5;2;120
24;5;2;121
25;5;2;122
26;5;2;123
27;4;2;124
28;4;2;125
29;4;2;126
30;5;2;127
31;5;2;128
32;5;2;129
33;4;3;134
34;4;3;135
35;4;3;136
36;4;3;137
37;4;3;138
38;4;3;139
39;4;3;140
40;5;3;141
41;5;3;142
42;5;3;136
43;5;3;135
44;5;3;140
45;5;3;139
46;4;4;143
47;4;4;144
48;4;4;145
49;4;4;146
50;4;4;147
51;4;4;148
52;5;4;149
53;5;4;150
54;5;4;151
55;5;4;152
56;5;4;147
57;5;4;148
